Artista,Cancion,Album,Genero,Letra,letra_procesada
Balu Brigada,Politix,Spotify Sync,Tus Favoritos,"He's off again
New blood is eating out his palm again
Mixed up in metaphors and confidence
Reading the room is like a party trick
And then he's on his way out
Yeah, he's on his way out

It's all pretend
He makes a fuss and then he finds the next
He pops a pill and takes the side effects
Talks in a circle till I'm two percent
And then he's on the way out

Am I wrong? To think that I could be the one
To think I might be onto something
I gave your words all the weight in the world
And now I don't know who to trust
I did my best to hear you out
And now I'm drowning in the doubt
I gave you every piece of my love
Oh, will it ever be enough?

Oh, Mister On The Fence
That's what they call him down in Oregon
He trust fund babies and the college kids
Gaslight the room and call it common sense (it's obvious)
It's politics
I guess I never was supposed to win
My pretty little bones were never made for it
I could take a bite, I couldn't stomach it
I wish that I'd have known it before

Am I wrong? To think that I could be the one
To think I might be onto something
I gave your words all the weight in the world
And now I don't know who to trust
I did my best to hear you out
And now I'm drowning in the doubt
I gave you every piece of my love
Oh, will it ever be enough?

I gave you every word that I put on the page
I gave you every smile on a tired face
I gave you every dream I was dreaming about
You only gave me reasons to doubt myself
And even when it works, yeah, it's never enough
And even when it hurts, you say: Toughen up
I bet you when it's good, you'll be there in the frame
And when you see it crash, you'll be out of state

I can't play again, I never win
My cynicism is kicking in
I can't be to blame, walls closing in
It's imminent, I'm over it",again new blood eating palm again mixed metaphors confidence reading room like party trick then way way pretend makes fuss then finds next pops pill takes side effects talks circle till two percent then way wrong think one think onto something gave words weight world know trust best hear drowning doubt gave piece love ever enough mister fence call oregon trust fund babies college kids gaslight room call common sense obvious politics guess never supposed win pretty little bones never made take bite couldn stomach wish known wrong think one think onto something gave words weight world know trust best hear drowning doubt gave piece love ever enough gave word put page gave smile tired face gave dream dreaming only gave reasons doubt myself even works never enough even hurts say toughen bet good there frame see crash state play again never win cynicism kicking blame walls closing imminent over
sombr,i wish i knew how to quit you,Spotify Sync,Tus Favoritos,"I won't call it off till I'm stone
I'd write a book with all the reasons I could call you my home
But I won't, 'cause you're unavailable
I won't save myself, I'm unwell
I'd rather take another bottle off the top of the shelf
Than get help, 'cause you're no good for my health

I wish I knew how to quit ya
You were never mine, but I was always yours
I wish I knew how to quit ya
But I'm addicted to you more and more

When I put you on the counter
Of my tiny place in Brooklyn and we kissed like there was nothing to lose
Did you feel what I did too?
Oh, you're in my DNA, so much exchanged
At least I know when you're away, there'll always be a part of you that stayed
You're the echo in my veins

I wish I knew how to quit ya
You were never mine, but I was always yours
I wish I knew how to quit ya
But I'm addicted to you more and

I love you while I sleep, then I wake up alone
I live inside a house, without you it's not home
They don't know what it's like to live and never know
If the one that you wait for is ever gonna show

I wish I knew how to quit ya
You were never mine, but I was always yours
I wish I knew how to quit ya
But I'm addicted to you more and more

I wish I knew how to quit ya
You were never mine, but I was always yours (ooh)
I wish I knew how to quit ya
But I'm addicted to you more and more",won call till stone write book reasons call home won cause unavailable won save myself unwell rather take another bottle top shelf help cause good health wish knew quit never mine always yours wish knew quit addicted more more put counter tiny place brooklyn kissed like there nothing lose feel dna much exchanged least know away there always part stayed echo veins wish knew quit never mine always yours wish knew quit addicted more love while sleep then wake alone live inside house without home know like live never know one wait ever gonna show wish knew quit never mine always yours wish knew quit addicted more more wish knew quit never mine always yours ooh wish knew quit addicted more more
UMI,HARD TRUTHS,SOMEWHERE NEW / WHAT NOW,Dinámico,"Hundred different things that I could say to you
Do you know you light the gas and turn the flame on you
I see you make excuses from a point of view, it's useless
Now I'm bored with what you say, throw that shit away
I am on a different time, I know how to use my mind
Kick back and float through life, I don't need to try
You just seem to waste your time, funny you're now wastin' mine
The hard truth is

You could have a nice house, but going home lonely
Closet full of nice clothes, who's holding you closely?
You could cash out, that's nice, partyin' all night
But you're empty inside, are you alive?

Ahh (Ah)
The hard truth is

The inside, that's what matters the most
Stormy days, I ride the wave, yeah, that's what keep me afloat
Could pull up in somethin' crazy, talkin' crazy talk, but that ain't in the cards
You can't mend the heart with the materials you bought, huh
Million different things that I could say to you
Keep it G but I ain't no put no shame on you
Bored without the games they finna play with you
But it drives you crazy, I can feel, somebody grabbed the wheel
Swervin', need to switch my place, growin' at a different rate
I could see it in your face, beggin' me to stay
Choices, I can walk that way, but I need to walk away
The hard truth is

You could have a nice house, but going home lonely (Going home lonely)
Closet full of nice clothes, who's holding you closely? (Close)
You could cash out, that's nice, partyin' all night
But you're empty inside, are you alive? (Alive)

You could have a nice house, but going home lonely
Closet full of nice clothes, who's holding you closely?
You could cash out, that's nice, partyin' all night
But you're empty inside, are you alive?

You could have a nice house, but going home lonely
Closet full of nice clothes, who's holding you closely?
You could cash out, that's nice (Yeah), partyin' all night (Yeah)
But you're empty inside, are you alive?",hundred different things say know light gas turn flame see make excuses point view useless bored say throw shit away different time know use mind kick back float life need try seem waste time funny wastin mine hard truth nice house going home lonely closet full nice clothes holding closely cash nice partyin night empty inside alive ahh hard truth inside matters most stormy days ride wave keep afloat pull somethin crazy talkin crazy talk ain cards mend heart materials bought huh million different things say keep ain put shame bored without games finna play drives crazy feel somebody grabbed wheel swervin need switch place growin different rate see face beggin stay choices walk way need walk away hard truth nice house going home lonely going home lonely closet full nice clothes holding closely close cash nice partyin night empty inside alive alive nice house going home lonely closet full nice clothes holding closely cash nice partyin night empty inside alive nice house going home lonely closet full nice clothes holding closely cash nice partyin night empty inside alive
COIN,I Feel Alive?,Rainbow Mixtape,Dinámico,"Everybody hurts like me and you
Everybody's got something we don't do
And of course it comes at the worst time
And of course it comes on a bad night
But everybody hurts like me and you

I feel alive
And it's okay
Yeah we're okay
When the lights go out
And your blood is pumping
There's a power to be found
I feel alive
I feel alive

I've seen different colors bleed the same blood
And ever different lover need the same love
Like ""honey, please don't go, no!""
Or just one more hallelujah
Everybody works like me and you

I feel alive
And it's okay
Yeah we're okay
When the lights go out
And your blood is pumping
There's a power to be found

I feel alive
And it's okay
Yeah we're okay
I feel alive
And your blood is pumping
There's a power to be found

Far and wide
Sunset fear
Morning comes
And never looked so clear

I feel alive
And it's okay
Yeah we're okay
I feel alive

I feel alive
I feel alive",everybody hurts like everybody something course comes worst time course comes bad night everybody hurts like feel alive okay okay lights blood pumping there power found feel alive feel alive seen different colors bleed same blood ever different lover need same love like honey please one more hallelujah everybody works like feel alive okay okay lights blood pumping there power found feel alive okay okay feel alive blood pumping there power found far wide sunset fear morning comes never looked clear feel alive okay okay feel alive feel alive feel alive
La Unión,Lobo-hombre en París,Mil Siluetas,Dinámico,"Cae la noche y amanece en paris,
en el dia en que todo ocurrió.
como un sueño de loco sin fin
la fortuna se ha reido de ti,
ja, ja, sorprendido espiando
el lobo escapa aullando
y es mordido, por el mago del siam.
La luna llena sobre paris
ha transformado en hombre a dennis.
rueda por los bares del bulevar
se ha alojado en un sucio hostal
Ja, ja, mientras esta cenando
junto a él se ha sentado
una joven, con la que irá a contemplar.
La luna llena sobre parís
algunos francos cobra dennis.
Auuuh lobo-hombre en parís
auuuh su nombre es dennis.
El hombre-lobo está en paris
su nombre dennis
La luna llena sobre parís
ha transformado en hombre a dennis.
Mientras esta cenando
junto a él se ha sentado
una joven ­con la que irá a contemplar!
La luna llena sobre parís
ha transformado en hombre a dennis.",cae noche amanece paris dia ocurrió sueño loco fin fortuna reido sorprendido espiando lobo escapa aullando mordido mago siam luna llena paris transformado hombre dennis rueda bares bulevar alojado sucio hostal mientras cenando junto sentado joven irá contemplar luna llena parís algunos francos cobra dennis auuuh lobo hombre parís auuuh nombre dennis hombre lobo paris nombre dennis luna llena parís transformado hombre dennis mientras cenando junto sentado joven irá contemplar luna llena parís transformado hombre dennis
Zoé,Karmadame,Sonidos De Karmática Resonancia,Dinámico,"Tienes que dejar que todo caiga en su lugar
Tienes que soltar eso que más temes perder
Tienes que llorar si eso te ayuda a sanar

Deja de esperar que el tiempo no va a regresar
Todo cambiará, no te resistas a crecer
Ríndete al amor y sólo déjate llevar

Fui tu rey, fui tu esclavo
Fui tu santo, fui tu diablo
Fui tu mujer, fui tu hermano
Fui tu árbol

Vaya obscuridad, la que pretendes ignorar
Nada cambiará si haces sólo siempre lo mismo
Sal de tu confort y empieza todo otra vez

Fui tu rey, fui tu esclavo
Fui tu santo, fui tu diablo
Fui tu mujer, fui tu hermano
Fui tu árbol

Fui tu mujer, fui tu hermano (Fuiste el aire que respiras)

Fui tu piel, fui tu barco (Fuiste mi sol, fuiste mi amor, fuiste mi piel)
Fui tu sangre, fui tu espacio (Fuiste mi reina, fuiste mi santa, fuiste mi espalda)
Fui tus lágrimas, fui tu hombro (Fuiste mi todo, fuiste mi Dios)
Fui tu lago",tienes dejar caiga lugar tienes soltar eso temes perder tienes llorar eso ayuda sanar deja esperar tiempo regresar cambiará resistas crecer ríndete amor sólo déjate llevar fui rey fui esclavo fui santo fui diablo fui mujer fui hermano fui árbol vaya obscuridad pretendes ignorar cambiará haces sólo sal confort empieza fui rey fui esclavo fui santo fui diablo fui mujer fui hermano fui árbol fui mujer fui hermano fuiste aire respiras fui piel fui barco fuiste sol fuiste amor fuiste piel fui sangre fui espacio fuiste reina fuiste santa fuiste espalda fui lágrimas fui hombro fuiste fuiste dios fui lago
Nek,Laura no està,Nek (spanish version),Dinámico,"Laura no está, Laura se fue, Laura se escapa de mi vida
Y tú que si estás, preguntas por que, la amo a pesar de las heridas
Lo ocupa todo su recuerdo, no consigo olvidar
El peso de su cuerpo

Laura no está, eso lo se, y no la encontrare en tu piel
Es enfermizo, sabes que no quisiera besarte a ti pensando en ella
Esta noche inventare una tregua, ya no quiero pensar más
Contigo olvidare su ausencia

Y si te como a besos, tal vez, la noche sea más corta, no lo se
Yo solo no me basto, quédate, y lléname su espacio, quédate
Quédate

Laura se fue, no dijo adiós, dejando rota mi pasión
Laura quizá ya me olvido y otro rozó su corazón
Yo solo se decir su nombre, no recuerdo ni siquiera el mío
Quien me abrigara este frío?

Y si te como a besos, tal vez, la noche sea más corta, no lo se
Yo solo no me basto, quédate, y lléname su espacio, quédate
Quédate

Puede ser difícil para ti
Pero no puedo olvidarla
Creo que es lógico
Por más que yo intente escaparme, ella está

Unas horas jugare a quererte
pero cuando vuelva a amanecer
me perderás para siempre

Y si te como a besos, sabrás, lo mucho que me duele, este dolor
No encontrare en tu abrazo el sabor de los sueños que Laura, me robo
Si me enredo en tu cuerpo, sabrás, que solo Laura es dueña de mi amor
No encontrare en tu abrazo el sabor de los besos que Laura, me robó
Me robó",laura laura laura escapa vida preguntas amo pesar heridas ocupa recuerdo consigo olvidar peso cuerpo laura eso encontrare piel enfermizo sabes quisiera besarte pensando noche inventare tregua pensar contigo olvidare ausencia besos tal noche sea corta basto quédate lléname espacio quédate quédate laura dijo adiós dejando rota pasión laura quizá olvido rozó corazón decir nombre recuerdo siquiera mío quien abrigara frío besos tal noche sea corta basto quédate lléname espacio quédate quédate difícil puedo olvidarla creo lógico intente escaparme unas horas jugare quererte vuelva amanecer perderás besos sabrás mucho duele dolor encontrare abrazo sabor sueños laura robo enredo cuerpo sabrás laura dueña amor encontrare abrazo sabor besos laura robó robó
Fobia,Descontrol,Wow (87-04),Dinámico,"Está bien recordar
porque siempre hace falta a quien culpar
ye l tiempo nos rebasa lento
Está bien no pensar
pero resulta una contrariedad
si por adentro estas ardiendo
Piensas que se te escapa el tiempo
y estas en descontrol
en llamas pasas rasgando el cielo
y estás en descontrol
Está bien no pensar
pero si ya se ha9ido que mas da
si hay que morir en el intento
Y está bien querer volar
pero este viento de tu necedad
siempre regresa a este momento
Piensas que se te escapa el tiempo
y estas en descontrol
en llamas pasas rasgando el cielo
y estás en descontrol
Piensas que se te escapa el tiempo
y estas en descontrol
en llamas pasas rasgando el cielo
y estás en descontrol
Piensas que se te escapa el tiempo
y estas en descontrol
en llamas pasas rasgando el cielo
y estás en descontrol
Piensas que se te escapa el tiempo
y estas en descontrol
en llamas pasas rasgando el cielo
y estás en descontrol!",recordar hace falta quien culpar tiempo rebasa lento pensar resulta contrariedad adentro estas ardiendo piensas escapa tiempo estas descontrol llamas pasas rasgando cielo descontrol pensar ido mas morir intento querer volar viento necedad regresa momento piensas escapa tiempo estas descontrol llamas pasas rasgando cielo descontrol piensas escapa tiempo estas descontrol llamas pasas rasgando cielo descontrol piensas escapa tiempo estas descontrol llamas pasas rasgando cielo descontrol piensas escapa tiempo estas descontrol llamas pasas rasgando cielo descontrol
Olivia Dean,Man I Need,Spotify Sync,Tus Favoritos,"Talk to me, talk to me
Talk to me, talk to me
Hm

Looks like we're making up for lost time
Need you to spell it out for me
Bossa nova on all night
It's like a type of alchemy

Introduce me to your best friend
I can come and slot right in
A satellite ain't even that far
I, I kinda wonder where you are

Already know, I can't leave it alone
You're on my mind, mm
Already gave you the time and the place
So, don't be shy

Just come be the man I need
Tell me you got something to give, I want it
I kinda like it when you call me wonderful
Whatever the type of talk it is, come on then
I gotta know you're meant to be the man I need
Talk to me
Talk to me

Mm, talk to me, talk to me
Be the man that I need, baby
Talk to me, talk to me
Be the man that I need, need, need
Mm, talk to me, talk to me
Be the man that I need, baby
Talk to me, talk to me
Be the man, man, man, man, man

I'd like to think you feel the same way
But I can't tell with you sometimes
So, baby, let's get on the same page
Stop making me read between the lines

Already know, I can't leave it alone
You're on my mind, mm
Already gave you the time and the place
So, don't be shy

Just come be the man I need
Tell me you got something to give, I want it
I kinda like it when you call me wonderful
Whatever the type of talk it is, come on then
I gotta know you're meant to be the man I need
Talk to me, talk to me
Talk to me, talk to me

Mm, talk to me, talk to me
Be the man that I need, baby (be the man)
Talk to me, talk to me
Be the man that I need, need, need
Mm, talk to me, talk to me
Be the man that I need, baby (be the man)
Talk to me, talk to me
Be the man, man, man, man, man

Mm
Mm-mm, mm-mm, mm
Mm-mm, mm
Mm-mm, mm-mm, mm-mm, mm-mm, mm",talk talk talk talk looks like making lost time need spell bossa nova night like type alchemy introduce best friend come slot right satellite ain even far kinda wonder already know leave alone mind already gave time place shy come man need tell something give want kinda like call wonderful whatever type talk come then gotta know meant man need talk talk talk talk man need baby talk talk man need need need talk talk man need baby talk talk man man man man man like think feel same way tell sometimes baby same page stop making read between lines already know leave alone mind already gave time place shy come man need tell something give want kinda like call wonderful whatever type talk come then gotta know meant man need talk talk talk talk talk talk man need baby man talk talk man need need need talk talk man need baby man talk talk man man man man man
Nothing But Thieves,Tomorrow Is Closed,Spotify Sync,Tus Favoritos,"Oh, it's too late
Come watch the waste
Dirty English sky
It's washing me away

Open my lungs
I feel the gunge
How it tries to kill me
It's stinging

Now you know we're all the same
Who have you got left to blame?
Everlasting summer, again
It's all we've got left
It's all we've got

So here's your last kiss
Won't wanna miss this
Only piece of heaven I have ever had
No I don't think
It's for nothing
But I hope someday we're gonna get it back

Cover our eyes
It feels so nice
Lie on morning TV
It's easy

Say the wrong things the right way
Takes you to the highest place
It's time to embrace the insane
It's all we've got left
It's all we've got

So here's your last kiss
Won't wanna miss this
Only piece of heaven I have ever had
No I don't think
It's for nothing
But I hope someday we're gonna get it back

Tomorrow is closed
There's no future at all
We've burned it all down
Down to the ground
I saw it written on bathroom wall
I've lost my place
We all have
But I hope someday we're gonna get it back

So here’s your last kiss
Won't wanna miss this
Only piece of heaven I ever had
We're all sinking
You know the feeling
We're all reaching out to find another hand
No, I don't think
It's for nothing
But I hope someday we're gonna get it back",late come watch waste dirty english sky washing away open lungs feel gunge tries kill stinging know same left blame everlasting summer again left here last kiss won wanna miss only piece heaven ever think nothing hope someday gonna back cover eyes feels nice lie morning easy say wrong things right way takes highest place time embrace insane left here last kiss won wanna miss only piece heaven ever think nothing hope someday gonna back tomorrow closed there future burned ground saw written bathroom wall lost place hope someday gonna back here last kiss won wanna miss only piece heaven ever sinking know feeling reaching find another hand think nothing hope someday gonna back
sombr,12 to 12,Spotify Sync,Tus Favoritos,"I don't want anyone else
From the hours of twelve to twelve
I am not the least compelled
By anyone but yourself
Look at me, it makes me melt
I know you wanna see me in hell, my love
I'm dealing with the cards I've dealt
While you're dancing with somebody else

Was it always in your plan to leave eventually?
Because to me, there's no one else that could make sense to me
The last and final puzzle piece

In a room full of people, I look for you
Would you avoid me or would you look for me too?
Tell me, is our story through (through)
Or do our hearts still beat in tune?

I've never felt anything
Like the love from my final days, why'd you wait
To show me you could do it this way? Woah
I'll never look at you, look at you the same
We met in a Paris café
I said: Can I sit with you? Comment ça se fait? My mistake
If I'd known it would have been this way
I'd never looked at you, looked in the first place

Was it always in your plan to leave eventually?
Because to me, there's no one else that could make sense to me
The last and final puzzle piece

In a room full of people, I look for you
Would you avoid me or would you look for me too?
Tell me, is our story through (through)
Or do our hearts still beat in tune?

Maybe I'm delusional
And the way you act is usual
Maybe in another world
I won't feel so unlovable (unlovable)
Oh (unlovable)

In a room full of people, I look for you
Would you avoid me or would you look for me too?
Tell me, is our story through (through)
Or do our hearts still beat in tune?

In a room full of people, I look for you
Would you avoid me or would you see me through?
Tell me, is our story through (through)
Or do our hearts still beat in tune?",want anyone else hours twelve twelve least compelled anyone yourself look makes melt know wanna see hell love dealing cards dealt while dancing somebody else always plan leave eventually there one else make sense last final puzzle piece room full people look avoid look tell story hearts still beat tune never felt anything like love final days why wait show way woah never look look same met paris café said sit comment fait mistake known way never looked looked first place always plan leave eventually there one else make sense last final puzzle piece room full people look avoid look tell story hearts still beat tune maybe delusional way act usual maybe another world won feel unlovable unlovable unlovable room full people look avoid look tell story hearts still beat tune room full people look avoid see tell story hearts still beat tune
Jorja Smith,With You,Spotify Sync,Tus Favoritos,"You tell me life is better when you're with me
You're right, I've been hurt so bad
You're meant to be in my life
Let you see the whole truth in my smile
So I'm lucky that I get to call you mine

You know you had me
Know I've always been yours
It feels like you've always been there
So I know why I don't wanna be without you
No, I could never be without you (you, you)

You tell me life is better when you're with me
You're right, I've been hurt so bad
You're meant to be in my life
Let you see the whole truth in my smile (smile)
So I'm (so I'm) lucky that I get to call you mine

Surely in my heart I always had you deep down
But you had to move away to figure out some things
You had to live a life away from where you've been
Did I still spend some time on your mind?
Did you ever keep what I sent you that time?
You're the only one who knows me
The one who's truly loved me

You tell me life is better when you're with me (yeah)
You're right, I've been hurt so bad
You're meant to be (oh-oh) in my life
Let you see the whole truth in my smile (yeah)
So I'm lucky that I get to call you mine",tell life better right hurt bad meant life see whole truth smile lucky call mine know know always yours feels like always there know why wanna without never without tell life better right hurt bad meant life see whole truth smile smile lucky call mine surely heart always deep move away figure some things live life away still spend some time mind ever keep sent time only one knows one truly loved tell life better right hurt bad meant life see whole truth smile lucky call mine
Balu Brigada,What Do We Ever Really Know?,Spotify Sync,Tus Favoritos,"Where the birds and the bees and the flowers grow
There's a snake in the grass so we play in the snow
There's a Sun in the sky beaming down on your head
Put your hands to the side and you hope for the best

Ali made a score
Made a milli, wanted more
Bought a house in St. Tropez
Heard a knock upon his door

What did he ever really know?
What do we ever really know?

A pretty girl, a teenage dream
Made a wife at seventeen
Made a movie, made a scene
And had a rude awakening

What did she ever really know?
What did she ever really know?

What do we ever really know, my dear?
If the world stopped spinning 'round again
Then I don't care
If the globe is frozen by October
Be my baby till it's over

Used to listen for the call
Saying 'you could have it all'
Try to be the number one
And then you question what it's for

What do we ever really know?
What do we ever really know?

What do we ever really know, my dear?
If the world stopped spinning 'round again
Then I no, no, no, no, I don't care
If the globe is frozen by October
B-b-be my baby, be my baby now

All we ever know
Is that we never know
All we ever know
Is that we never know
(All we ever know is that we never know)
(All we ever know is that we never know)

Every single day is a tidal wave
Call it growing pains
Maybe I'm the worst
Maybe I'm okay
Just an animal, just an animal, just an ani-
I don't really know",birds bees flowers grow there snake grass play snow there sun sky beaming head put hands side hope best ali made score made milli wanted more bought house tropez heard knock upon door ever really know ever really know pretty girl teenage dream made wife seventeen made movie made scene rude awakening ever really know ever really know ever really know dear world stopped spinning round again then care globe frozen october baby till over used listen call saying try number one then question ever really know ever really know ever really know dear world stopped spinning round again then care globe frozen october baby baby ever know never know ever know never know ever know never know ever know never know single day tidal wave call growing pains maybe worst maybe okay animal animal ani really know
bbno$,meant to be,Spotify Sync,Tus Favoritos,"You say you love me, but you just wanna be friends with me
You say you love me, but your work took all your energy
You never listen when I just needed an apology
I read our book, this chapter's closing, now we're history

You just took like twenty thousand hours from my life, so
I deleted all our pictures off my fucking drive, sorry
Thank you for this song, you broke my heart and it's alright
Cause, if it's meant to be, it's meant to be

Right one, wrong time
Today's a good day to say goodbye
I was bad to you, you were worst to me
But baby we just ain't meant to be
Fool me once, fool me twice
Shame on me for the last time
I was bad to you, you were worst to me
But baby we just ain't meant to be

Give you all my love and all my trust and my affection
Sorry ain't enough and you say you want more attention
We was playing games but we was sitting in different sections
And now I got your stalker and he's clouding all my mentions

You just took like twenty thousand hours from my life, so
I deleted all our pictures off my fucking drive, sorry
Thank you for this song, you broke my heart and it's alright
Cause, If it's meant to be, it's meant to be

Right one, wrong time
Today's a good day to say goodbye
I was bad to you, you were worst to me
But baby we just ain't meant to be
Fool me once, fool me twice
Shame on me for the last time
I was bad to you, you were worst to me
But baby we just ain't meant to be

But baby, this is just how it has to be
But baby, this is just how it has to be",say love wanna friends say love work took energy never listen needed apology read book chapter closing history took like twenty thousand hours life deleted pictures fucking drive sorry thank song broke heart alright cause meant meant right one wrong time today good day say goodbye bad worst baby ain meant fool once fool twice shame last time bad worst baby ain meant give love trust affection sorry ain enough say want more attention playing games sitting different sections stalker clouding mentions took like twenty thousand hours life deleted pictures fucking drive sorry thank song broke heart alright cause meant meant right one wrong time today good day say goodbye bad worst baby ain meant fool once fool twice shame last time bad worst baby ain meant baby baby
sombr,back to friends,Spotify Sync,Tus Favoritos,"Touch my body tender
'Cause the feeling makes me weak
Kicking off the covers
I see the ceiling while you're looking down at me

How can we go back to being friends
When we just shared a bed?
How can you look at me and pretend
I'm someone you've never met?

It was last December
You were layin' on my chest
I still remember
I was scared to take a breath
Didn't want you to movе your head

How can we go back to being friеnds
When we just shared a bed? (Yeah)
How can you look at me and pretend
I'm someone you've never met?

The devil in your eyes
Won't deny the lies you've sold
I'm holding on too tight
While you let go
This is casual

How can we go back to being friends
When we just shared a bed? (Yeah)
How can you look at me and pretend
I'm someone you've never met?
How can we go back to being friends
When we just shared a bed? (Yeah)
How can you look at me and pretend
I'm someone you've never met?

I'm someone you've never met (Yeah)",touch body tender cause feeling makes weak kicking covers see ceiling while looking back friends shared bed look pretend someone never met last december layin chest still remember scared take breath didn want mov head back fri nds shared bed look pretend someone never met devil eyes won deny lies sold holding tight while casual back friends shared bed look pretend someone never met back friends shared bed look pretend someone never met someone never met
Olivia Dean,Time,Spotify Sync,Tus Favoritos,"Coming back to your place
But I'm still half a world away
Coming back to your face
There's a guilt that I'm tryna place
Let me try to explain

It's a gift to exist
It's a wonder to taste
And it's hard to resist
When it's all on my plate, alright
And I'm tired, I don't know what you want me to do
If I could, then I would, but I can't split in two
Alright

It's up to me to spend my time
I gave you yours, so give me mine
And in between is hard to find
When I'm in and out of time

Am I unfamiliar
Like checking in to some foreign hotel
(Checking out by twelve)
Wishing I could steal ya
To a place where there's no one еlse
Is it greedy though?
Can I ask for both?

For the gift to exist
For thе wonder to taste
And it's hard to resist when it's all on my plate, alright
And I'm tired, I don't know what you want me to do
If I could, then I would, but I can't split in two
Alright

It's up to me to spend my time
I gave you yours, so give me mine
And in-between is hard to find
When I'm in and out of time

In and out
Out of time
In and out
Out of time
Time",coming back place still half world away coming back face there guilt tryna place try explain gift exist wonder taste hard resist plate alright tired know want then split two alright spend time gave yours give mine between hard find time unfamiliar like checking some foreign hotel checking twelve wishing steal place there one lse greedy though ask both gift exist wonder taste hard resist plate alright tired know want then split two alright spend time gave yours give mine between hard find time time time time
Olivia Dean,Danger,Spotify Sync,Tus Favoritos,"I'm in danger with your love
I'm in danger with your love
Let me lay here in your love
Let me lay here in your love

Oh no
Looks like we're in this thing together
Oh no
Look like it's keeps on getting better

Why
Suddenly
I would rather be
With you than anyone?
And why do I feel the world is ending too?

It looks like I'm in danger
Whenever I look in your eyes
It's strange but
I don't see us saying goodbye
So I'll let you move in closer
I want you to
I know it's danger
But I want your love to be mine

I'm in danger with your love
I'm in danger with your love
Let me lay here in your love
Let me lay here in your love

You make me feel
I got new emotions
I wanna bathe you in you babe
And swim in to your ocean

Why suddenly would I rather be with you than anyone?
And why does it feel it like the world is ending too?

It looks like I'm in danger
Whenever I look in your eyes
It's strange but
I don't see us saying goodbye
So I'll let you move in closer
I want you to
I know it's danger
But I want your love to be mine

I'm in danger with your love
I'm in danger with your love
Let me lay here in your love
Let me lay here in your love

There's nothing I can do
You really make go against my nature
Loving you is too
Easy oh it's looks like I'm danger

There's nothing I can do
You really make go against my nature
Loving you is too
Easy oh it's looks like I'm danger

It looks like I'm in danger
Whenever I look in your eyes
It's strange but
I don't see us saying goodbye
So I'll let you move in closer
I want you to
I know it's danger
But I want your love to be mine

I'm in danger with your love
I'm in danger with your love
Let me lay here in your love
Let me lay here in your love",danger love danger love lay here love lay here love looks like thing together look like keeps getting better why suddenly rather anyone why feel world ending looks like danger whenever look eyes strange see saying goodbye move closer want know danger want love mine danger love danger love lay here love lay here love make feel new emotions wanna bathe babe swim ocean why suddenly rather anyone why feel like world ending looks like danger whenever look eyes strange see saying goodbye move closer want know danger want love mine danger love danger love lay here love lay here love there nothing really make against nature loving easy looks like danger there nothing really make against nature loving easy looks like danger looks like danger whenever look eyes strange see saying goodbye move closer want know danger want love mine danger love danger love lay here love lay here love
Olivia Dean,Reason To Stay,Spotify Sync,Tus Favoritos,"You've given your statement
The place and the time
You said: A misunderstanding that's all it was
I should believe you
We can't build love on a lie
But I'm starting to doubt you I wonder why

If you say you love me don't go and waste my time
If you want my love you better mean it
One of these days if you can't behave
I'm leaving if you leave me no reason
If you say you love me
Don't go play on my mind
If you're promising me you better keep it
One of these days if you can't behave
I'm leaving if you leave me no reason to stay

It's cool to be honest, it don't cost you to care
And I trust is a virtue that we should share
I'd never deceive you I hope you'd treat me the same
But I'm starting to question what you say

If you say you love me
Don't go and waste me time
If you want my love you better mean it
One of these days if you can't behave
I'm leaving if you leave me no reason
If you say you love me
Don't go play on my mind
If you're promising me you better keep it
One of these days if you can't behave
I'm leaving if you leave me no reason to stay

Give me a reason to, I need a reason to
Give me a reason to, I need a reason to
Give me a reason to, I need a reason to
Give me a reason to, I need a reason to
Give me a reason to, I need a reason to

If you say you love me don't go and waste my time
If you want my love you better mean it
One of these days if you can't behave
I'm leaving if you leave me no reason
If you say you love me
Don't go play on my mind
If you're promising me, you better keep it
One of these days if you can't behave
I'm leaving if you leave me no reason to stay",given statement place time said misunderstanding believe build love lie starting doubt wonder why say love waste time want love better mean one days behave leaving leave reason say love play mind promising better keep one days behave leaving leave reason stay cool honest cost care trust virtue share never deceive hope treat same starting question say say love waste time want love better mean one days behave leaving leave reason say love play mind promising better keep one days behave leaving leave reason stay give reason need reason give reason need reason give reason need reason give reason need reason give reason need reason say love waste time want love better mean one days behave leaving leave reason say love play mind promising better keep one days behave leaving leave reason stay
